model,target,recall,precision,f1,pr_auc,roc_auc,accuracy,balanced_accuracy
LogisticRegression_L2,respiratory_event,0.4107142857142857,0.07849829351535836,0.1318051575931232,0.08494149125666947,0.6015724157382597,0.7165575304022451,0.5720896206458892
LogisticRegression_L1,respiratory_event,0.4107142857142857,0.07692307692307693,0.1295774647887324,0.0805367904909968,0.5986637991820617,0.7109448082319925,0.5691281201523057
RandomForest,respiratory_event,0.0,0.0,0.0,0.04580026345150043,0.44916090819348464,0.9476145930776426,0.5
XGBoost,respiratory_event,0.0,0.0,0.0,0.05911465644303883,0.5444753913411366,0.9401309635173059,0.4960513326752221
_baseline_majority,respiratory_event,0.0,0.0,0.0,0.052385406922357346,0.5,0.9476145930776426,0.5
