Model,Accuracy,Recall,F1_Score,ROC_AUC
Logistic Regression,0.8524590163934426,0.8497109826589595,0.9158878504672897,0.9491329479768786
Random Forest,0.9508196721311475,0.9595375722543352,0.9736070381231672,0.915028901734104
Decision Tree,0.9562841530054644,0.9653179190751445,0.9766081871345029,0.8583815028901733
