mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6176872253417969,0.15854295397019866,0.053781986236572266,0.028239264737335738,,,1,2,100,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9825581395348837,0.9771428571428571,0.98005698005698,0.9884393063583815,0.9772727272727273,0.9810940020731659,0.004180581193375832,2
0.9985788345336915,0.44717896868214313,0.03883271217346192,0.016972657874739845,,,1,2,200,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9797101449275363,0.9771428571428571,0.9828571428571429,0.9855907780979827,0.9772727272727273,0.9805147300596493,0.003279653264403236,11
0.6985137939453125,0.04043638455415284,0.03503084182739258,0.005178853295128581,,,1,2,300,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.9797101449275363,0.9771428571428571,0.9828571428571429,0.9855907780979827,0.98005698005698,0.9810715806164998,0.0028958303802109715,4
0.4116512775421143,0.19047366725530154,0.03217930793762207,0.018187794853102505,,,1,5,100,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9797101449275363,0.9771428571428571,0.9828571428571429,0.9827586206896551,0.9771428571428571,0.9799223245520098,0.0025358877189139073,31
0.570267629623413,0.2522934520334857,0.030547237396240233,0.005555908013867743,,,1,5,200,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9797101449275363,0.9771428571428571,0.9828571428571429,0.9827586206896551,0.9771428571428571,0.9799223245520098,0.0025358877189139073,31
0.8272904872894287,0.2975163455134085,0.03286337852478027,0.006798387850354416,,,1,5,300,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.9797101449275363,0.9771428571428571,0.9828571428571429,0.9827586206896551,0.9771428571428571,0.9799223245520098,0.0025358877189139073,31
0.3616684913635254,0.22557290029452462,0.017807960510253906,0.005641040573976944,,,1,10,100,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.976878612716763,0.9771428571428571,0.9828571428571429,0.9827586206896551,0.98005698005698,0.9799388426926796,0.0025947686964079204,28
0.5565872192382812,0.22831354010817442,0.02630643844604492,0.008329059730657689,,,1,10,200,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.976878612716763,0.9771428571428571,0.9828571428571429,0.9827586206896551,0.9771428571428571,0.9793560181098551,0.002820258116752494,78
0.6366943359375,0.2813146390118402,0.034978818893432614,0.016372435410637813,,,1,10,300,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.976878612716763,0.9771428571428571,0.9828571428571429,0.9827586206896551,0.9771428571428571,0.9793560181098551,0.002820258116752494,78
0.24718217849731444,0.10062949894770128,0.019652080535888673,0.009174580100679,,,2,2,100,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9797101449275363,0.9771428571428571,0.9828571428571429,0.9827586206896551,0.9743589743589743,0.9793655479952331,0.003281129629734771,76
0.520441722869873,0.22302521612313417,0.03344430923461914,0.014219143928525586,,,2,2,200,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9798270893371758,0.9771428571428571,0.9828571428571429,0.9827586206896551,0.9743589743589743,0.9793889368771611,0.0032839182816019486,55
0.6896465301513672,0.24481750915807438,0.03828125,0.01308925670973039,,,2,2,300,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.9798270893371758,0.9771428571428571,0.9828571428571429,0.9827586206896551,0.9743589743589743,0.9793889368771611,0.0032839182816019486,55
0.23501019477844237,0.08921140771020249,0.0153228759765625,0.004604408041726638,,,2,5,100,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.976878612716763,0.9771428571428571,0.98005698005698,0.9799426934097422,0.9743589743589743,0.9776760235370634,0.002132120631275237,107
0.4227434158325195,0.17385762576946456,0.024164247512817382,0.006213881186819561,,,2,5,200,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.976878612716763,0.9771428571428571,0.9828571428571429,0.9827586206896551,0.9743589743589743,0.9787992415530784,0.0034144294790501807,93
0.6767696380615235,0.2341527952015335,0.03401365280151367,0.007790438350037426,,,2,5,300,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.976878612716763,0.9771428571428571,0.9828571428571429,0.9827586206896551,0.9743589743589743,0.9787992415530784,0.0034144294790501807,93
0.28083624839782717,0.09054806082673526,0.020011377334594727,0.00575243980626716,,,2,10,100,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.9798270893371758,0.9771428571428571,0.9828571428571429,0.9827586206896551,0.9743589743589743,0.9793889368771611,0.0032839182816019486,55
0.39524526596069337,0.12460342985622788,0.022882699966430664,0.004645292801691448,,,2,10,200,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.9798270893371758,0.9771428571428571,0.9828571428571429,0.9827586206896551,0.9743589743589743,0.9793889368771611,0.0032839182816019486,55
0.6984585285186767,0.25730833680753057,0.03334698677062988,0.009903840399270968,,,2,10,300,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",0.9798270893371758,0.9771428571428571,0.9828571428571429,0.9827586206896551,0.9743589743589743,0.9793889368771611,0.0032839182816019486,55
0.25113706588745116,0.07690879548742313,0.01982731819152832,0.007055413475882587,,,4,2,100,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.9827586206896551,0.9771428571428571,0.98005698005698,0.9827586206896551,0.9743589743589743,0.9794152105876244,0.0032710171277564007,37
0.34909467697143554,0.05660361218624125,0.021454238891601564,0.0021670586592544686,,,4,2,200,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.976878612716763,0.9771428571428571,0.98005698005698,0.9827586206896551,0.9743589743589743,0.978239208993046,0.002892708217094162,99
0.8052802562713623,0.26785325421061534,0.04146037101745605,0.009892022285664579,,,4,2,300,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",0.9827586206896551,0.9771428571428571,0.9828571428571429,0.9827586206896551,0.9743589743589743,0.9799752431476568,0.0035599048471848613,13
0.24359641075134278,0.07102279787028842,0.019093418121337892,0.007331098481040813,,,4,5,100,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.9827586206896551,0.9771428571428571,0.98005698005698,0.9827586206896551,0.9743589743589743,0.9794152105876244,0.0032710171277564007,37
0.3275758743286133,0.004293944406405433,0.021149492263793944,0.0009500130180982833,,,4,5,200,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.976878612716763,0.9771428571428571,0.98005698005698,0.9827586206896551,0.9743589743589743,0.978239208993046,0.002892708217094162,99
0.6894108772277832,0.2640808937217706,0.044134664535522464,0.018287342390170578,,,4,5,300,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",0.9827586206896551,0.9771428571428571,0.9828571428571429,0.9827586206896551,0.9743589743589743,0.9799752431476568,0.0035599048471848613,13
0.22671632766723632,0.07990213509122782,0.016765546798706055,0.004829733701533498,,,4,10,100,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.9827586206896551,0.9771428571428571,0.9828571428571429,0.9827586206896551,0.9714285714285714,0.9793891625615763,0.004542032203876022,50
0.39948859214782717,0.14471964680503904,0.028269481658935548,0.011096599524788031,,,4,10,200,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.9827586206896551,0.9771428571428571,0.9828571428571429,0.9827586206896551,0.9714285714285714,0.9793891625615763,0.004542032203876022,50
0.6559277057647706,0.24938812856226483,0.032363080978393556,0.0069007289061198355,,,4,10,300,"{'class_weight': None, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 300}",0.9827586206896551,0.9771428571428571,0.9799426934097422,0.9827586206896551,0.9743589743589743,0.9793923532581766,0.0032668493396134316,47
0.1570664405822754,0.0049580628039677275,0.012528038024902344,0.0002577266066450989,,5,1,2,100,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.976878612716763,0.9771428571428571,0.98005698005698,0.9856733524355301,0.98005698005698,0.979961756481822,0.003165199278282034,25
0.4988709449768066,0.18359027234148179,0.029515838623046874,0.01305412641418915,,5,1,2,200,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.976878612716763,0.9771428571428571,0.98005698005698,0.9856733524355301,0.98005698005698,0.979961756481822,0.003165199278282034,25
0.585080623626709,0.18106657557252034,0.03148655891418457,0.0059898811650811925,,5,1,2,300,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.976878612716763,0.9771428571428571,0.98005698005698,0.9827586206896551,0.98005698005698,0.9793788101326472,0.002172253262616808,74
0.26670055389404296,0.08826832994252502,0.01960911750793457,0.0062054398221752455,,5,1,5,100,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9739130434782609,0.9771428571428571,0.98005698005698,0.9856733524355301,0.9771428571428571,0.9787858180512969,0.00395465689716911,98
0.3811013698577881,0.11626828499205973,0.024187564849853516,0.0063028584829862965,,5,1,5,200,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.976878612716763,0.9771428571428571,0.98005698005698,0.9856733524355301,0.98005698005698,0.979961756481822,0.003165199278282034,25
0.5634350299835205,0.19028561056428703,0.032547283172607425,0.009108111299688772,,5,1,5,300,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.976878612716763,0.9771428571428571,0.98005698005698,0.9827586206896551,0.98005698005698,0.9793788101326472,0.002172253262616808,74
0.244464111328125,0.06810764520447814,0.016705846786499022,0.003687614879122198,,5,1,10,100,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.9798270893371758,0.9771428571428571,0.98005698005698,0.9827586206896551,0.98005698005698,0.9799685054567296,0.0017779024402560621,23
0.4455428600311279,0.16274175084148143,0.02901902198791504,0.010099379660113757,,5,1,10,200,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.9798270893371758,0.9771428571428571,0.98005698005698,0.9827586206896551,0.98005698005698,0.9799685054567296,0.0017779024402560621,23
0.7048352718353271,0.22949718775504963,0.04265098571777344,0.011528029809471603,,5,1,10,300,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.9798270893371758,0.9771428571428571,0.9828571428571429,0.9827586206896551,0.98005698005698,0.9805285380167623,0.002124754167899709,10
0.23238415718078614,0.08613698607082017,0.018257713317871092,0.006607774768733941,,5,2,2,100,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9798270893371758,0.9771428571428571,0.98005698005698,0.9828571428571429,0.9743589743589743,0.9788486087506261,0.002882788118245641,87
0.3896014213562012,0.11691840601665798,0.026000118255615233,0.009393921424029934,,5,2,2,200,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9798270893371758,0.9771428571428571,0.98005698005698,0.9856733524355301,0.9743589743589743,0.9794118506663034,0.0037543284373411077,43
0.5871313095092774,0.2022636804620859,0.034743118286132815,0.014195036446170626,,5,2,2,300,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.9798270893371758,0.9771428571428571,0.98005698005698,0.9827586206896551,0.9743589743589743,0.9788289043171284,0.0028555294791066436,89
0.22486333847045897,0.07804551569856018,0.017638587951660158,0.004579680464908648,,5,2,5,100,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9798270893371758,0.9771428571428571,0.98005698005698,0.9828571428571429,0.9743589743589743,0.9788486087506261,0.002882788118245641,87
0.36871790885925293,0.11247086412647064,0.022443008422851563,0.007122284120928778,,5,2,5,200,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.9798270893371758,0.9771428571428571,0.98005698005698,0.9856733524355301,0.9743589743589743,0.9794118506663034,0.0037543284373411077,43
0.715580940246582,0.29462622094269614,0.04310441017150879,0.0150963846849162,,5,2,5,300,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.9798270893371758,0.9771428571428571,0.9828571428571429,0.9828571428571429,0.9743589743589743,0.9794086413106587,0.003304310481813026,46
0.26043076515197755,0.07758161959378307,0.020253896713256836,0.007776574594438363,,5,2,10,100,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.9798270893371758,0.9771428571428571,0.98005698005698,0.9827586206896551,0.9743589743589743,0.9788289043171284,0.0028555294791066436,89
0.37468738555908204,0.09316796311565924,0.021607065200805665,0.00249329682624221,,5,2,10,200,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.9798270893371758,0.9771428571428571,0.98005698005698,0.9827586206896551,0.9772727272727273,0.979411654899879,0.002074303014724313,45
0.7483102798461914,0.22820214362781158,0.038358640670776364,0.012221108356504065,,5,2,10,300,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",0.9827586206896551,0.9771428571428571,0.9828571428571429,0.9827586206896551,0.9743589743589743,0.9799752431476568,0.0035599048471848613,13
0.1999340534210205,0.08168944381720133,0.013933658599853516,0.0029794650043905684,,5,4,2,100,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.9827586206896551,0.9771428571428571,0.9828571428571429,0.9827586206896551,0.9743589743589743,0.9799752431476568,0.0035599048471848613,13
0.38987317085266116,0.12783007151707731,0.024937200546264648,0.007550313062829273,,5,4,2,200,"{'class_weight': None, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.976878612716763,0.9771428571428571,0.98005698005698,0.9856733524355301,0.9743589743589743,0.978822155342221,0.003872494765809778,91
