Model,Holdout_Accuracy,Holdout_Balanced_Accuracy,Block_CV_Accuracy,Block_CV_Balanced_Accuracy,Class_0_Precision,Class_0_Recall,Class_1_Precision,Class_1_Recall
logistic_regression,0.8633879781420765,0.6827380952380953,0.9,0.8226310073647545,0.3602092760180995,0.7302564102564102,0.97760101010101,0.9150056044730988
decision_tree,0.8852459016393442,0.6946428571428571,0.9263157894736842,0.8367420211410203,0.4632391138273491,0.7319230769230769,0.9795720627648736,0.9415609653589636
random_forest,0.8907103825136612,0.6976190476190476,0.9447368421052632,0.8403627819765376,0.5319413919413919,0.7185897435897436,0.9783671212233184,0.9621358203633316
