target,base_rate,accuracy,balanced_accuracy,roc_auc,pr_auc
sleep_vs_wake (LEGACY target),0.8054256314312441,0.754911131898971,0.5506817877244706,0.7713023764853033,0.9319323586011921
respiratory_event (CORRECT),0.052385406922357346,0.7165575304022451,0.5720896206458892,0.6015724157382597,0.08494149125666947
