Model,Accuracy,Precision,Recall,F1_Score
Logistic Regression,0.9617486338797814,0.9611111111111111,1.0,0.9801699716713881
Decision Tree,0.9398907103825137,0.9602272727272727,0.976878612716763,0.9684813753581661
Random Forest,0.9726775956284153,0.9719101123595506,1.0,0.9857549857549858
