train,test,n_train,n_test,test_base_rate,roc_auc,pr_auc,pr_auc_lift,recall
apnea_hrv,apnea_ecg,30445,13286,0.48938732500376336,0.7946233570004584,0.7796777536944807,1.5931711220524254,0.6367271608735774
"apnea_ecg (within, shared feats)",apnea_ecg,13286,13286,0.48938732500376336,0.7960749241525105,0.8003329284947945,1.6353773128240296,0.6997846816364196
apnea_ecg,apnea_hrv,13286,30445,0.22144851371325341,0.7488292746339231,0.41196592301526347,1.8603237208839656,0.801394245031148
"apnea_hrv (within, shared feats)",apnea_hrv,30445,30445,0.22144851371325341,0.7989660013596769,0.5594651758257029,2.526389391577206,0.7266389795312963
