,precision,recall,f1-score,support
Awake,0.6,0.9,0.72,10.0
Sleep,0.9523809523809523,0.7692307692307693,0.851063829787234,26.0
accuracy,0.8055555555555556,0.8055555555555556,0.8055555555555556,0.8055555555555556
macro avg,0.7761904761904761,0.8346153846153846,0.7855319148936171,36.0
weighted avg,0.8544973544973544,0.8055555555555556,0.8146572104018913,36.0
