,precision,recall,f1-score,support
0,0.3684210526315789,0.4666666666666667,0.4117647058823529,15.0
1,0.9512195121951219,0.9285714285714286,0.9397590361445783,168.0
accuracy,0.8907103825136612,0.8907103825136612,0.8907103825136612,0.8907103825136612
macro avg,0.6598202824133504,0.6976190476190476,0.6757618710134656,183.0
weighted avg,0.9034491466571266,0.8907103825136612,0.8964808123525927,183.0
