Model,Class,Precision_Recall_AUC,ROC_AUC
logistic_regression,0,0.4142812417653164,0.7480158730158731
logistic_regression,1,0.9534062813556706,0.748015873015873
decision_tree,0,0.41815421979356404,0.7011904761904763
decision_tree,1,0.972774203988873,0.7011904761904763
random_forest,0,0.3458632693881522,0.6972222222222222
random_forest,1,0.9570460300492993,0.6972222222222222
