,precision,recall,f1-score,support
0,0.2916666666666667,0.4666666666666667,0.358974358974359,15.0
1,0.949685534591195,0.8988095238095238,0.9235474006116208,168.0
accuracy,0.8633879781420765,0.8633879781420765,0.8633879781420765,0.8633879781420765
macro avg,0.6206761006289309,0.6827380952380953,0.6412608797929898,183.0
weighted avg,0.895749561810496,0.8633879781420765,0.8772709217888944,183.0
