Sample_Order,Window,HR_Mean,SpO2_Mean,Flow_Mean,Sleep_Label,Batch_ID
1,249,64.33333333333333,78.33333333333333,0.5600383333333333,1,20
2,899,54.36666666666667,89.3,-0.11521500000000001,1,72
3,873,67.7,92.93333333333334,1.4783133333333334,0,67
4,698,53.4,90.83333333333333,-0.013044999999999998,1,52
5,332,71.53333333333333,95.06666666666666,-0.40296833333333326,0,33
6,158,61.4,92.3,0.4533,1,14
7,323,65.1,90.83333333333333,0.3116766666666667,1,32
8,9,72.8,92.0,-0.21436333333333332,1,4
9,466,57.06666666666667,85.53333333333333,0.6615633333333333,1,42
10,756,62.733333333333334,87.46666666666667,0.055671666666666675,1,60
11,374,62.333333333333336,78.96666666666667,0.42647,1,36
12,711,73.86666666666666,83.14285714285714,-0.06533499999999999,0,53
13,246,63.666666666666664,81.9,0.15720499999999998,1,18
14,79,77.76666666666667,94.7,-0.929065,0,9
15,868,57.7,87.46666666666667,-0.2344,1,66
16,680,55.9,77.23333333333333,-0.03626499999999999,1,50
17,216,62.8,89.8,-0.013780000000000014,1,14
18,853,54.5,84.63333333333334,-0.7834366666666667,1,64
19,258,63.63333333333333,88.83333333333333,0.15312333333333333,1,24
20,446,61.833333333333336,86.56666666666666,0.51894,1,40
21,307,61.43333333333333,90.13333333333334,-0.101045,1,30
22,806,54.56666666666667,83.53333333333333,0.08488666666666665,1,62
23,913,65.13333333333334,96.0,0.04883,0,74
24,276,60.6,87.9,0.4567616666666667,1,30
25,860,56.166666666666664,90.03333333333333,-0.6095333333333334,1,66
26,255,77.26666666666667,84.03333333333333,-1.075445,0,23
27,365,61.36666666666667,91.43333333333334,0.34570833333333334,1,36
28,749,55.4,90.26666666666667,0.09433,1,58
29,459,74.93333333333334,70.83333333333333,-0.6066066666666666,0,41
30,2,69.93333333333334,94.86666666666666,0.00442499999999996,0,1
31,242,69.43333333333334,80.26666666666667,0.26943000000000006,1,16
32,795,54.166666666666664,89.0,0.04684666666666667,1,62
33,745,76.43333333333334,77.60714285714286,-0.22360166666666667,0,57
34,606,55.6,91.26666666666667,-0.03483666666666666,1,44
35,896,54.4,87.93333333333334,-0.3507866666666667,1,70
36,260,58.8,86.2,-0.016406666666666667,1,24
37,692,53.733333333333334,80.7,0.10157333333333333,1,50
38,267,63.53333333333333,90.1,-0.10650500000000006,1,30
39,27,69.53333333333333,90.7,0.05910666666666667,1,6
40,895,56.5,91.83333333333333,-0.25325666666666663,1,70
41,464,62.266666666666666,91.46666666666667,0.1831533333333333,1,42
42,627,63.36666666666667,83.16666666666667,-0.010323333333333328,1,48
43,373,60.8,87.2,0.35167000000000004,1,36
