Model,Accuracy,Balanced_Accuracy,ROC_AUC,Average_Precision,Test_Rows
Logistic Regression,0.7837837837837838,0.8823529411764706,0.9313725490196079,0.99427301633184,37
Decision Tree,0.918918918918919,0.9558823529411764,0.9607843137254902,0.9959345900522372,37
Random Forest,0.918918918918919,0.9558823529411764,0.9705882352941176,0.9975009611687813,37
