model,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,kappa,brier,seconds
LogisticRegression_L2,0.8330367021020733,0.8219951100073954,0.576591242064138,0.8028105167724388,0.841179703242352,0.6711511132164851,0.8975150398605921,0.714897433186347,0.56326281315105,0.12454869199547801,1.3
LogisticRegression_L1,0.8338544422531147,0.8224313339180377,0.5782168517308949,0.8025838621940163,0.842278805642059,0.672171602126044,0.8978515686954778,0.7152960952934213,0.5648030281306927,0.12427543385669515,34.8
RandomForest,0.8737313002068402,0.7646961627353577,0.7716631194892064,0.5752493200362647,0.9541430054344507,0.6591351772497078,0.9178609523638701,0.7715941843814298,0.5836615608899809,0.09000860330452058,23.7
XGBoost,0.8780124104093511,0.8356378417180719,0.6934818481848185,0.7620126926563917,0.9092629907797521,0.7261339092872571,0.927787342009566,0.7893377640927449,0.6478873724825815,0.08870792766685155,8.0
_baseline_majority,0.7877723796238395,0.5,0.0,0.0,1.0,0.0,0.5,0.21222762037616047,0.0,0.21222762037616047,
