feature,lr_coef,lr_odds_ratio,rf_impurity,rf_permutation,xgb_gain
spo2_std,-1.1815769432550642,0.30679455932882443,0.07745577595646795,0.004017676299848579,0.12983431
spo2_range,0.8792531917704853,2.409099898815137,0.07919655425489154,0.003834096906758363,0.107224956
spo2_desat_ctx1,0.14588884495186494,1.1570675670013837,0.08369907992733464,0.005818929802855884,0.10592065
asleep,1.08617809663088,2.962928379346505,0.022878691821220036,0.012950122727430569,0.053812273
spo2_desat_ctx2,0.05001535628624437,1.051287240119854,0.07013693162073688,0.003972952149659907,0.045219716
sum_iqr,-2.0868344185867502,0.12407929789866941,0.03155515846207595,0.010384678750536613,0.027614605
spo2_iqr,0.5324391784906678,1.7030813658513135,0.046232240539558926,0.002542557916282736,0.025874613
spo2_min_ctx1,-0.6670623757851637,0.5132139953885879,0.02851974282459795,0.0012271443703574247,0.018487278
spo2_min,0.787460512419686,2.197808027235202,0.022155172028985617,0.0009133901477492342,0.014704095
spo2_mean,-0.7701851834967953,0.46292733387072305,0.01124210672373253,0.0003737424834152255,0.014643968
sum_min,0.07181531920406393,1.0744568941850199,0.00834406374588843,0.0005862381835121852,0.0135314055
abdo_min,-0.11776216024124449,0.8889074450071395,0.009989262459228569,0.000996445498062067,0.012625438
sum_range,-0.0028825475535831464,0.9971216029976047,0.008607353535689082,0.00026802325051888953,0.012362414
flow_iqr,-0.5112617996872999,0.5997383515137474,0.014426744179805452,0.002880591288464296,0.012336888
sum_max,0.06602243976391924,1.0682506881902898,0.007492070040196364,0.00040674019313576465,0.012206175
flow_max,0.586271155055745,1.797274148325774,0.007960690977075045,0.00025554895131792615,0.01162135
effort_sum_ctx1,-0.39859775666673897,0.6712606571800713,0.01053216487910622,0.0004700001422920745,0.010608142
flow_range,0.43134224471647703,1.539322284734532,0.00868741831681446,0.00033117355188046665,0.010369397
spo2_max,1.4634262721811104,4.320738221144495,0.0178415095839472,0.0009992195924293974,0.009673057
spo2_min_ctx2,-0.530326037646886,0.5884130935802113,0.021563208210394088,0.0008752905776195549,0.009666939
ribcage_iqr,0.6263409979685721,1.870752952027573,0.016298225804839448,0.0012248849869641958,0.009610261
pulse_range,0.03052704320690025,1.0309977711578209,0.009572140141746429,0.0007518570757314066,0.009546004
abdo_iqr,0.23523913947873543,1.2652112945279832,0.018156303654967103,0.0020523834516263197,0.009494312
pulse_max,-0.2662506846822945,0.7662470170324254,0.008727909615460152,0.00022243670593905898,0.009400841
abdo_range,0.10338089833806209,1.1089137120336219,0.009411007763248092,0.0005300884208689164,0.009325152
pulse_min,-0.29648812024157084,0.7434244589146276,0.009324647407313955,0.00041040881605132934,0.009149892
sound_min,0.046460436115202806,1.047556632838712,0.0039034741543754496,8.515735375613787e-05,0.009046223
pulse_rel_amp,0.1638872149702637,1.1780814376495927,0.006334850215311286,0.0002894105625926846,0.008710265
ribcage_rel_amp,-0.14749982337142856,0.8628625907275487,0.006285747111825681,0.0005090995137173593,0.0086000925
sound_range,0.009078585469003074,1.0091199208202086,0.004095644341698682,0.00012673221723942993,0.008598838
sound_iqr,-0.2896848768155826,0.7484993999329338,0.0021554721353874194,7.337899449781175e-05,0.008530797
sound_max,0.07079366782318436,1.073359734368233,0.0036652627509921893,9.62600245647538e-05,0.008347568
pulse_std,-0.2653277778550802,0.7669545180643252,0.010700245998597518,0.000606925090391397,0.00820034
flow_rel_amp_ctx2,-0.31632562714790846,0.7288220872662097,0.015770203691128082,0.0009947849545617708,0.0081292465
pulse_mean_ctx1,0.06287435086214002,1.0648930279339714,0.008799150126201348,0.0002790985122762916,0.008121491
sum_rel_amp,-0.18604080209450727,0.8302397187713583,0.006975086670717342,0.0005849380605700653,0.00810695
pulse_std_ctx2,0.12321899367050827,1.1311321045973393,0.010467647604893599,0.0007172204866297364,0.008009715
flow_rel_amp,-0.1068144439961926,0.8986924152930432,0.007618386339190703,0.00047228447941190704,0.007924143
effort_ratio,-0.10559782639662432,0.8997864456754513,0.007650761220697857,0.00042375496804362517,0.0077594165
ribcage_min,-0.2724460633011221,0.7615145016459051,0.007430596563754718,0.0002549285887813631,0.007759384
sound_rel_amp,0.09146803681367549,1.0957817514564923,0.004910691005808043,0.0001014807686194515,0.007719847
effort_sum_ctx2,0.37177688137260506,1.4503093541584824,0.009319492258537752,0.0005684244568606722,0.0076927044
