feature,univariate_auc,point_biserial_r,null_pct,flag
spo2_desat_ctx1,0.8494544914088269,0.17653514262167053,0.0,
spo2_std,0.847574360056845,0.1907486376098922,0.0,
spo2_range,0.8462593704513732,0.2167468742455226,0.0,
spo2_desat_ctx2,0.8437824595458183,0.19705240380096772,0.0,
spo2_iqr,0.8270658574584759,0.2042710342211557,0.0,
spo2_desat,0.8178940142874453,0.1384016879462097,0.0,
spo2_min_ctx1,0.7642899089345998,-0.12539196606114003,0.0,
spo2_min_ctx2,0.7559557964199288,-0.12762871933324776,0.0,
spo2_min,0.7435750340002627,-0.11485595079125727,0.0,
sum_iqr,0.7208635034284809,-0.2580811343382243,0.0,
pulse_std_ctx1,0.6996062878356203,0.14851396462234884,0.0,
pulse_std_ctx2,0.6945080199211341,0.1646878426418464,0.0,
flow_rel_amp_ctx2,0.6920777132786722,-0.21070303114981553,0.144,
spo2_below90,0.6837371388715938,0.3369829036066775,0.0,
pulse_std,0.6831021476009159,0.10055245102274621,0.0,
abdo_iqr,0.6823538498007428,-0.2123687936616804,0.0,
pulse_range,0.6809319407383738,0.11081479061834378,0.0,
flow_rel_amp_ctx1,0.6749144080919363,-0.18551158255443495,0.221,
pulse_iqr,0.6725798849092423,0.0986145547406675,0.0,
flow_iqr,0.6599881553364843,-0.1864634343364607,0.0,
spo2_below92,0.651895063123653,0.2506379244268402,0.0,
spo2_max,0.6456352475839704,0.007508144711421905,0.0,
ribcage_iqr,0.6456017483223797,-0.18979820971338066,0.0,
abdo_range,0.6222476976229461,0.14687985365049291,0.0,
abdo_min,0.6187393955911125,-0.14328237527996007,0.0,
flow_rel_amp,0.6106975459286036,-0.17811251744689702,0.303,
abdo_max,0.6043467675821369,0.13548517856256045,0.0,
sum_rel_amp,0.6024165957277015,-0.16126627823786785,0.303,
sum_min,0.601694845351465,-0.12180138748266384,0.0,
sum_range,0.6000003750588676,0.12035137862832124,0.0,
abdo_rel_amp,0.5997461660448601,-0.15727626563818742,0.303,
spo2_mean,0.5996972970462356,-0.05894734465181151,0.0,
asleep,0.593671471184601,0.18282764917283986,0.0,
spo2_rel_amp,0.5899607359913467,0.14243839504485467,0.303,
ribcage_rel_amp,0.5888760339222184,-0.12317028294100671,0.303,
flow_min,0.5873793535269457,-0.14172725248228357,0.0,
sum_max,0.5873666416608969,0.11092312646705989,0.0,
flow_range,0.5843401034365302,0.13682118381312963,0.0,
flow_max,0.5735446221236237,0.12283153389113767,0.0,
ribcage_range,0.5698999979572439,0.0962640787309458,0.0,
ribcage_min,0.5683794733243464,-0.09722028208106606,0.0,
ribcage_max,0.5620979085222841,0.08761372126911529,0.0,
pulse_min,0.5612964174100168,-0.08096605413289837,0.0,
sum_std,0.555492118476972,-0.07762133512212636,0.0,
effort_sum,0.5484721651791361,-0.07105955330454852,0.0,
flow_std,0.5448935707491949,-0.04695419299871019,0.0,
pulse_rel_amp,0.5447478851963579,0.06752829166710521,0.303,
ribcage_std,0.5442967081567581,-0.06172105301398384,0.0,
abdo_std,0.5340641473007581,-0.05759797377605848,0.0,
effort_sum_ctx2,0.5323074462997356,-0.059840686626523115,0.0,
effort_sum_ctx1,0.530016348691482,-0.058482804952438,0.0,
ribcage_mean,0.5287490718331012,-0.014088788110475953,0.0,
pulse_mean,0.526852830941565,-0.05399400133205136,0.0,
pulse_mean_ctx1,0.5245224628706945,-0.05302874126747946,0.0,
pulse_mean_ctx2,0.5242394456635472,-0.053955127628080815,0.0,
sound_iqr,0.5226790590659347,-0.03974504904328309,39.3,
sound_std,0.5221831579948611,-0.04180405558424584,39.3,
flow_mean,0.5168482948052381,-0.0006113084222479233,0.0,
sound_min,0.516622889065239,0.03896503672446121,39.3,
effort_ratio,0.515527612948627,-0.029024923707181603,0.433,
pulse_max,0.514294489911913,-0.015468841690596763,0.0,
sum_mean,0.5127340858647316,0.003374143001309144,0.0,
abdo_mean,0.5108211126421632,0.011645418824912976,0.0,
sound_range,0.5101301471775241,-0.035603181121701605,39.3,
sound_mean,0.5078566671983965,-0.027391059765970185,39.3,
sound_max,0.5058945218972057,-0.031384328003294715,39.3,
sound_rel_amp,0.5029380132980087,0.019161898795737382,39.603,
