model,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,kappa,brier,seconds
LogisticRegression_L2,0.7364895378594009,0.7358896827101096,0.7419771004676665,0.7076284220239926,0.7641509433962265,0.7243958120129104,0.8054389469423051,0.8096856026168103,0.4722337355916123,0.18605669345023973,1.1
LogisticRegression_L1,0.7374680114406141,0.7368574092586897,0.7432999677106877,0.7080898185173793,0.765625,0.7252678008821676,0.8060617143201221,0.8102549694996397,0.4741816732756715,0.1854470550051598,6.2
RandomForest,0.7452958000903206,0.7433397670092801,0.7914018691588786,0.6511842509996923,0.8354952830188679,0.7144785690178873,0.8090471210237198,0.8280273435898016,0.4884783390662818,0.1785501269750514,17.0
XGBoost,0.763585729339154,0.7619048547471605,0.8046039514228748,0.6827130113811135,0.8410966981132075,0.738663782344621,0.825001516677742,0.8376497134214923,0.5254642053206224,0.18282899667079264,5.3
_baseline_majority,0.5106126749962366,0.5,0.48938732500376336,0.0,,,0.5,0.48938732500376336,0.0,,
