Model,Class,False_Positive_Rate,Specificity
Logistic Regression L1,Sleep Apnea,0.234375,0.765625
Logistic Regression L1,Normal,0.2919101814826207,0.7080898185173793
Logistic Regression L2,Sleep Apnea,0.2358490566037736,0.7641509433962265
Logistic Regression L2,Normal,0.2923715779760074,0.7076284220239926
Random Forest,Sleep Apnea,0.1645047169811321,0.8354952830188679
Random Forest,Normal,0.3488157490003076,0.6511842509996923
XGBoost,Sleep Apnea,0.15890330188679244,0.8410966981132075
XGBoost,Normal,0.3172869886188865,0.6827130113811135
