seed,pr_auc,roc_auc,recall,accuracy
42,0.8376497134214923,0.825001516677742,0.6827130113811135,0.763585729339154
7,0.846525243711907,0.832506725071531,0.6896339587819132,0.7686286316423303
2024,0.8460801835964,0.8329694704786046,0.6953245155336819,0.7743489387325003
