feature,vif
rr_cv_ctx2,33.265340082167434
rr_cv_ctx1,21.88179949379176
rr_cv_ctx5,15.104507942469532
rmssd_ctx1,9.814361992796165
rmssd,7.479239015406055
rr_max,4.37502485756709
r_hf,3.512909830695626
rr_iqr,2.3210479295639495
rr_std_z,2.050281735595544
peak_hz,1.8222967909134358
lf_hf_ctx2,1.8057528282620297
rr_mean_z,1.3334893049689729
r_lf,1.1897991658621783
edr_std,1.1802365685475342
edr_peak_hz,1.1140754065290817
