Model,Accuracy,Balanced_Accuracy,ROC_AUC,Awake_Precision,Awake_Recall,Awake_F1,Sleep_Precision,Sleep_Recall,Sleep_F1
logistic_regression,0.8055555555555556,0.8346153846153846,0.9076923076923077,0.6,0.9,0.72,0.9523809523809523,0.7692307692307693,0.851063829787234
decision_tree,0.8611111111111112,0.8423076923076923,0.8346153846153846,0.7272727272727273,0.8,0.7619047619047619,0.92,0.8846153846153846,0.9019607843137255
random_forest,0.8888888888888888,0.8923076923076922,0.8961538461538462,0.75,0.9,0.8181818181818182,0.9583333333333334,0.8846153846153846,0.92
