model,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,kappa,brier,seconds
LogisticRegression_L2,0.7783872557070126,0.7698493762666403,0.49975439630612045,0.7545238801542569,0.7851748723790237,0.6012647006678092,0.8573676936755655,0.6812141584623482,0.4564460437325072,0.14973931675746083,1.7
LogisticRegression_L1,0.7777631795040236,0.7686525692155544,0.4988198269079465,0.7522990210619994,0.7850061173691094,0.5998817267888823,0.8565269347901432,0.6804698929834325,0.45464612035871965,0.14984653414924354,89.6
RandomForest,0.8425685662670389,0.7024384235383553,0.7358992979908012,0.4509047760308514,0.9539720710458591,0.5591832980778074,0.8596467936616949,0.6755156214043488,0.4699997745582265,0.11342184560172651,33.7
XGBoost,0.8371818032517655,0.7688689664780637,0.6288064655794487,0.646247404331059,0.8914905286250685,0.6374076512325361,0.8649978099018866,0.6832397681082449,0.5324540506489377,0.11901906589871171,7.5
_baseline_majority,0.7785514862867466,0.5,0.0,0.0,1.0,0.0,0.5,0.22144851371325341,0.0,0.22144851371325341,
