seed,pr_auc,roc_auc,recall
42,0.6832397681082449,0.8649978099018866,0.646247404331059
7,0.6743577107815152,0.8568537849850167,0.630376742806289
2024,0.6726274514411728,0.856185620148317,0.6237021655295165
