feature,univariate_auc,point_biserial_r,null_pct,flag
r_cvhr_ctx5,0.8057426338669704,0.474281425893751,0.0,
r_cvhr_ctx2,0.7888653119133615,0.44536859392077927,0.0,
r_cvhr_ctx1,0.777149303867437,0.4245237023383694,0.0,
r_cvhr,0.7610732991340368,0.39650539651023475,0.0,
r_hf_ctx5,0.7508943896631024,-0.3198514719512816,0.0,
r_hf_ctx2,0.7439504664247553,-0.3130311331068674,0.0,
p_cvhr,0.7400391836017086,0.2840725268836836,0.0,
r_hf_ctx1,0.7368416866625209,-0.307801433309952,0.0,
r_hf,0.726696367998959,-0.29911093651574877,0.0,
lf_hf_ctx1,0.6840142474082858,0.17305853308098795,0.0,
lf_hf,0.6840140096194111,0.16766524810837555,0.0,
lf_hf_ctx2,0.682437481894411,0.1766983086873249,0.0,
lf_hf_ctx5,0.6778843380645435,0.17905016425145093,0.0,
total_power,0.6725895057036353,0.19874980295466765,0.0,
rr_cv_ctx1,0.6548710869540976,0.20726375294984045,0.0,
rr_cv,0.6546318525732004,0.201141590808773,0.0,
rr_cv_ctx2,0.6543684638487007,0.2130433604838638,0.0,
rr_cv_ctx5,0.650495859263428,0.222809773212789,0.0,
sd_ratio,0.6487999740384609,-0.2247875547890649,0.0,
p_lf,0.6482303883343881,0.13602998155870852,0.0,
sd2,0.6450681717551044,0.1719485864874995,0.0,
rr_iqr,0.6421243392269558,0.18567405638649576,0.0,
rr_mad,0.6377025174320208,0.1860436115167253,0.0,
rr_std,0.6308196683888964,0.15481234644464342,0.0,
rr_std_ctx1,0.6301693846498245,0.15876251844963704,0.0,
rr_std_ctx2,0.6288646496087691,0.1621485902570456,0.0,
rr_std_ctx5,0.6226021166488844,0.16536219310552702,0.0,
rr_range,0.6073849521417976,0.12755388356728334,0.0,
rr_min,0.5856896802869755,-0.13397659345380425,0.0,
cvhr_peak_hz,0.5854811738605499,0.1250743521029606,0.0,
rr_kurt,0.5762986216768113,-0.05438956422159796,0.0,
hr_mean_ctx5,0.5603144347371098,0.08339606212402685,0.0,
hr_mean_ctx2,0.5575964953824593,0.07908879660737196,0.0,
rr_median,0.5573839840907728,-0.09540378508709747,0.0,
hr_mean_ctx1,0.55690132586446,0.07802150566613608,0.0,
rr_mean,0.5566163609283693,-0.09467414313370572,0.0,
hr_mean,0.5566163609283693,0.07749944993723644,0.0,
n_beats,0.555622131225843,0.07685724398166828,0.0,
r_lf,0.5519680702605552,-0.07921899317058287,0.0,
peak_hz,0.5285628867659515,-0.1525911988645702,0.0,
p_hf,0.5259889536054256,-0.08487298668782337,0.0,
pnn50,0.5243409014899139,-0.002015694335582574,0.0,
rmssd,0.5211708441353623,-0.0092057000143833,0.0,
sdsd,0.5211447624503533,-0.009286686508460427,0.0,
sd1,0.5211447624503533,-0.00928668650846044,0.0,
rmssd_ctx1,0.5206071968955587,-0.01009129686540379,0.0,
rr_skew,0.520209282243918,0.06764237416903499,0.0,
rmssd_ctx2,0.5196001922986115,-0.011467098998122868,0.0,
rr_max,0.515531580846847,0.0028712074046147694,0.0,
rmssd_ctx5,0.5150381814467533,-0.017727631057083068,0.0,
pnn20,0.510789814120812,-0.02131248441553525,0.0,
