feature,lr_coef,lr_odds_ratio,rf_impurity,rf_permutation,xgb_gain
r_cvhr_ctx5,1.4226079482832088,4.147923917733025,0.0888851062100086,0.03827168832577651,0.13307855
peak_hz,0.1148723880472629,1.1217302822462054,0.027699111419855774,0.004170629972133688,0.055407964
r_cvhr_ctx2,-0.22010378172815398,0.8024355154964238,0.05361811757168405,0.003068245224005691,0.043139655
r_hf_ctx2,0.4544529317721441,1.5753113444729945,0.03899989139627552,0.0016909361100422664,0.036249742
hr_mean_ctx5,2.6810983499023737,14.601121632428027,0.024487070479019105,0.0014803904267917483,0.034926496
r_hf_ctx1,-1.061828965190272,0.34582273382691586,0.030787342058365308,0.0011702915892186268,0.034089945
p_lf,0.1324323704761522,1.1416018074917593,0.016510550177722075,0.00120047106094671,0.03367547
p_cvhr,-0.15317893716171246,0.857976184251789,0.027269565135217038,0.002025445657296343,0.03159247
r_hf_ctx5,-0.49872199578187065,0.6073063039869268,0.03970181190409789,0.002852068095239709,0.02478488
hr_mean,-1.6999208660845848,0.18269798108728813,0.017147660498023524,0.0007792245975858,0.023168115
hr_mean_ctx1,-1.8322754985086716,0.16004896192828427,0.0183035590385844,0.0007391638091412966,0.02288549
rr_cv,-0.3330454132343995,0.7167376440419697,0.012592266565300964,0.00047975258220933625,0.020748258
rmssd_ctx1,-0.35083325727612014,0.7041011478113279,0.012014128941629051,0.0005533406902734628,0.020080358
cvhr_peak_hz,0.2617420840571527,1.2991914170348848,0.009052117020999348,0.0009343036349428457,0.01898472
hr_mean_ctx2,-1.617334296970555,0.19842694200185218,0.01880035863815018,0.0008507380480298569,0.018641537
rr_min,0.25015465898431977,1.2842240181118785,0.01658399681829068,0.0008737430933431675,0.018573487
n_beats,1.6469034795054123,5.190881245088126,0.014971521625521064,0.0006446957702934316,0.018169962
rr_mean,-1.1128698062817592,0.3286145464901063,0.01725220413934768,0.0007380313936161306,0.017247735
sd1,-0.08035434868055709,0.9227892992750714,0.01094975275064592,0.0005347356565875705,0.016841818
rr_median,-0.20408127598859632,0.8153960963702235,0.01872577211292214,0.0010164478391938199,0.016398955
rr_skew,0.028950519343029415,1.0293736591300622,0.02275461886283605,0.0016153041896302216,0.016286973
total_power,0.3729259304135662,1.4519767885294463,0.015040091584069768,0.0010496080859998165,0.015989523
pnn50,0.3504292364914158,1.41967679491492,0.011317620384212189,0.0006008695555148232,0.015369206
rr_kurt,-0.1276756151653854,0.8801388365340437,0.01834847699825931,0.0012738970371076002,0.015157329
rmssd_ctx5,0.4900127733881963,1.6323370702972801,0.016227794659156133,0.001084302516268935,0.014558388
rr_max,0.256887921144125,1.2929002118620514,0.015776388246016647,0.0008336398056117226,0.014541571
pnn20,0.5415084846931602,1.718597385661094,0.014064294376023554,0.0008156118254523855,0.014269849
lf_hf_ctx5,0.15719528485500914,1.1702241186357663,0.022027207144518682,0.0010195321333282086,0.014185145
rmssd_ctx2,0.5145524843243271,1.672889689897594,0.012179560077040774,0.000524024794357166,0.013737042
rr_cv_ctx5,0.8780152559023986,2.4061194328340867,0.01208467312347629,0.0006046107692744274,0.012878284
lf_hf_ctx1,-0.13451190971663088,0.8741424680254879,0.01982678331061607,0.0008399125307338254,0.0127543835
sd2,0.8897100784568048,2.4344237570754066,0.008961358977390508,0.000337379192440701,0.012603581
p_hf,-0.060438570016827536,0.9413515944548864,0.011758496884402708,0.0005465046360722722,0.012297191
lf_hf_ctx2,0.16017398487916643,1.1737150619014505,0.020489362590463304,0.000870279102685482,0.01200306
rr_std_ctx5,-1.72986124636834,0.17730901053226703,0.011449809137038738,0.0005399080263833733,0.011480647
lf_hf,-0.08343250096832595,0.9199531805244463,0.01967628719478459,0.0009665341521147471,0.0114581
sd_ratio,-0.21669100627927868,0.8051787260412927,0.015763903380520795,0.0008216458558391038,0.011426466
rr_mad,0.5913481061878024,1.8064220233557842,0.013668759875731337,0.0008969328565937204,0.011034827
r_lf,0.33724774683881426,1.401086135404759,0.014688777917201459,0.0008996090325840885,0.010866661
rmssd,-0.03830349323522382,0.9624208083585427,0.010864237234557914,0.0005261367716284937,0.010779165
rr_std_ctx1,-0.5415006061747206,0.5818744325418611,0.008691231946110949,0.000348646379582022,0.010525527
rr_range,0.0795353059809,1.0827837875983188,0.01069474543730533,0.0005876245716962917,0.010522774
rr_iqr,-0.1667126962856872,0.8464427625560271,0.013809760142138005,0.0008494135356663657,0.009765856
r_cvhr_ctx1,0.030257699450129898,1.030720115738971,0.0433179769577229,0.0017994417606843245,0.00961598
sdsd,-0.08035434868054549,0.922789299275082,0.01099122531145127,0.0005488153574345253,0.0094610425
rr_cv_ctx2,0.6039455626537734,1.829322285836647,0.011057717325100063,0.0003782648148336065,0.009106917
rr_std_ctx2,-0.5369942409166883,0.5845024883114154,0.008613751492491292,0.00032796347908888485,0.008442237
rr_std,-0.9174803087036322,0.39952445217462507,0.008084077790087173,0.00037564128706809213,0.008245067
rr_cv_ctx1,0.4997437701234157,1.6482988731701593,0.01053472233652617,0.00040010441013242176,0.0075056674
r_hf,0.28358023204493465,1.3278754141999893,0.025252970693240354,0.0010150798649371702,0.0073978854
r_cvhr,0.44815929429184864,1.5654280395444644,0.027631414107849132,0.0011794568205003204,0.0070480024
