,precision,recall,f1-score,support
Normal,0.5096700796359499,0.7839020122484689,0.6177180282661151,1143.0
Apnea,0.8164933135215453,0.5604283528811831,0.6646507408527366,1961.0
accuracy,0.6427190721649485,0.6427190721649485,0.6427190721649485,0.6427190721649485
macro avg,0.6630816965787476,0.672165182564826,0.6411843845594258,3104.0
weighted avg,0.7035104023323586,0.6427190721649485,0.6473684952063099,3104.0
