Model,Class,Sensitivity,Specificity,False_Positive_Rate,False_Negative_Rate,Specificity_plus_FPR,Sensitivity_plus_FNR,Specificity_FPR_Valid,Sensitivity_FNR_Valid
Logistic Regression L1,Sleep Apnea,0.7080898185173793,0.765625,0.234375,0.2919101814826207,1.0,1.0,True,True
Logistic Regression L1,Normal,0.765625,0.7080898185173793,0.2919101814826207,0.234375,1.0,1.0,True,True
Logistic Regression L2,Sleep Apnea,0.7076284220239926,0.7641509433962265,0.2358490566037736,0.2923715779760074,1.0,1.0,True,True
Logistic Regression L2,Normal,0.7641509433962265,0.7076284220239926,0.2923715779760074,0.2358490566037736,1.0,1.0,True,True
Random Forest,Sleep Apnea,0.6511842509996923,0.8354952830188679,0.1645047169811321,0.3488157490003076,1.0,1.0,True,True
Random Forest,Normal,0.8354952830188679,0.6511842509996923,0.3488157490003076,0.1645047169811321,1.0,1.0,True,True
XGBoost,Sleep Apnea,0.6827130113811135,0.8410966981132075,0.15890330188679244,0.3172869886188865,1.0,1.0,True,True
XGBoost,Normal,0.8410966981132075,0.6827130113811135,0.3172869886188865,0.15890330188679244,1.0,1.0,True,True
