,precision,recall,f1-score,support
Normal,0.5291803278688525,0.7060367454068242,0.6049475262368815,1143.0
Apnea,0.7872070930968967,0.6338602753697093,0.7022598870056497,1961.0
accuracy,0.6604381443298969,0.6604381443298969,0.6604381443298969,0.6604381443298969
macro avg,0.6581937104828746,0.6699485103882667,0.6536037066212657,3104.0
weighted avg,0.6921927269062863,0.6604381443298969,0.6664261149828721,3104.0
