Model,Accuracy,Balanced_Accuracy,Precision,Sensitivity_Recall,Specificity,False_Positive_Rate,F1,ROC_AUC,TN,FP,FN,TP
NN Deep ReLU,0.6591494845360825,0.6888182194971677,0.8327192336035372,0.5762366139724631,0.8013998250218722,0.19860017497812774,0.6811332127787824,0.6878893452953772,916,227,831,1130
NN Shallow ReLU,0.6672036082474226,0.6835142228843016,0.8072847682119205,0.6216216216216216,0.7454068241469817,0.2545931758530184,0.7023912417170844,0.7308111855727366,852,291,742,1219
Random Forest,0.6427190721649485,0.672165182564826,0.8164933135215453,0.5604283528811831,0.7839020122484689,0.21609798775153105,0.6646507408527366,0.7144766962773201,896,247,862,1099
NN Very Deep ReLU,0.6604381443298969,0.6699485103882667,0.7872070930968967,0.6338602753697093,0.7060367454068242,0.29396325459317585,0.7022598870056497,0.7023444481474492,807,336,718,1243
Gradient Boosting,0.6304768041237113,0.6646659287425889,0.8169781931464174,0.534931157572667,0.7944006999125109,0.20559930008748906,0.6465331278890601,0.6778524178613319,908,235,912,1049
NN Deep Tanh,0.6349871134020618,0.6366676437245447,0.7518248175182481,0.6302906680265171,0.6430446194225722,0.3569553805774278,0.6857142857142857,0.6649913916293355,735,408,725,1236
