,precision,recall,f1-score,support
Normal,0.534504391468005,0.7454068241469817,0.6225794665692364,1143.0
Apnea,0.8072847682119205,0.6216216216216216,0.7023912417170844,1961.0
accuracy,0.6672036082474226,0.6672036082474226,0.6672036082474226,0.6672036082474226
macro avg,0.6708945798399628,0.6835142228843016,0.6624853541431603,3104.0
weighted avg,0.7068376127292223,0.6672036082474226,0.6730017897215979,3104.0
