,precision,recall,f1-score,support
Normal,0.4989010989010989,0.7944006999125109,0.6128923388457644,1143.0
Apnea,0.8169781931464174,0.534931157572667,0.6465331278890601,1961.0
accuracy,0.6304768041237113,0.6304768041237113,0.6304768041237113,0.6304768041237113
macro avg,0.6579396460237581,0.6646659287425889,0.6297127333674123,3104.0
weighted avg,0.699851221908531,0.6304768041237113,0.6341454275422538,3104.0
