,precision,recall,f1-score,support
Normal,0.5034246575342466,0.6430446194225722,0.5647330003841721,1143.0
Apnea,0.7518248175182481,0.6302906680265171,0.6857142857142857,1961.0
accuracy,0.6349871134020618,0.6349871134020618,0.6349871134020618,0.6349871134020618
macro avg,0.6276247375262474,0.6366676437245447,0.6252236430492288,3104.0
weighted avg,0.660355299843727,0.6349871134020618,0.6411647982360899,3104.0
