Model,FPR,TPR_Sensitivity,Threshold,ROC_AUC
Random Forest,0.0,0.7348291687914329,0.788,1.0
Random Forest,0.0,0.7419683834778175,0.786,1.0
Random Forest,0.0,0.74604793472718,0.784,1.0
Random Forest,0.0,0.7506374298827129,0.782,1.0
Random Forest,0.0,0.7587965323814381,0.78,1.0
Random Forest,0.0,0.7638959714431413,0.778,1.0
Random Forest,0.0,0.7720550739418663,0.776,1.0
Random Forest,0.0,0.7791942886282509,0.774,1.0
Random Forest,0.0,0.7832738398776135,0.772,1.0
Random Forest,0.0,0.788883222845487,0.77,1.0
Random Forest,0.0,0.7929627740948496,0.768,1.0
Random Forest,0.0,0.7985721570627231,0.766,1.0
Random Forest,0.0,0.8021417644059153,0.764,1.0
Random Forest,0.0,0.8062213156552779,0.762,1.0
Random Forest,0.0,0.8097909229984702,0.76,1.0
Random Forest,0.0,0.8138704742478328,0.758,1.0
Random Forest,0.0,0.8184599694033656,0.756,1.0
Random Forest,0.0,0.8245792962774094,0.752,1.0
Random Forest,0.0,0.8327383987761346,0.748,1.0
Random Forest,0.0,0.8398776134625191,0.744,1.0
Random Forest,0.0,0.8454869964303927,0.742,1.0
Random Forest,0.0,0.8465068842427333,0.74,1.0
Random Forest,0.0,0.8500764915859256,0.736,1.0
Random Forest,0.0,0.8541560428352881,0.734,1.0
Random Forest,0.0,0.8612952575216726,0.732,1.0
Random Forest,0.0,0.8663946965833759,0.73,1.0
Random Forest,0.0,0.8684344722080571,0.728,1.0
Random Forest,0.0,0.8720040795512494,0.726,1.0
Random Forest,0.0,0.8765935747067822,0.724,1.0
Random Forest,0.0,0.8796532381438041,0.722,1.0
Random Forest,0.0,0.8867924528301887,0.72,1.0
Random Forest,0.0,0.8883222845486997,0.718,1.0
Random Forest,0.0,0.8913819479857216,0.716,1.0
Random Forest,0.0,0.8959714431412544,0.714,1.0
Random Forest,0.0,0.9000509943906171,0.71,1.0
Random Forest,0.0,0.903110657827639,0.708,1.0
Random Forest,0.0,0.9087200407955125,0.706,1.0
Random Forest,0.0,0.9102498725140235,0.704,1.0
Random Forest,0.0,0.9133095359510454,0.702,1.0
Random Forest,0.0,0.914329423763386,0.7,1.0
Random Forest,0.0,0.9204487506374299,0.696,1.0
Random Forest,0.0,0.9219785823559409,0.694,1.0
Random Forest,0.0,0.9245283018867925,0.692,1.0
Random Forest,0.0,0.9260581336053034,0.69,1.0
Random Forest,0.0,0.9311575726670066,0.686,1.0
Random Forest,0.0,0.9321774604793472,0.684,1.0
Random Forest,0.0,0.9342172361040285,0.682,1.0
Random Forest,0.0,0.9357470678225395,0.68,1.0
Random Forest,0.0,0.9367669556348802,0.678,1.0
Random Forest,0.0,0.9393166751657318,0.676,1.0
Random Forest,0.0,0.9423763386027537,0.67,1.0
Random Forest,0.0,0.9433962264150944,0.666,1.0
Random Forest,0.0,0.9454360020397756,0.664,1.0
Random Forest,0.0,0.9469658337582866,0.662,1.0
Random Forest,0.0,0.9490056093829679,0.658,1.0
Random Forest,0.0,0.9505354411014788,0.656,1.0
Random Forest,0.0,0.9515553289138194,0.654,1.0
Random Forest,0.0,0.9546149923508415,0.65,1.0
Random Forest,0.0,0.9556348801631821,0.648,1.0
Random Forest,0.0,0.958694543600204,0.644,1.0
Random Forest,0.0,0.9627740948495666,0.642,1.0
Random Forest,0.0,0.9653238143804181,0.64,1.0
Random Forest,0.0,0.9724630290668026,0.636,1.0
Random Forest,0.0,0.9750127485976543,0.634,1.0
Random Forest,0.0,0.9765425803161653,0.632,1.0
Random Forest,0.0,0.9790922998470168,0.63,1.0
